termino,peso
Acosta,1.0
Aguilar,1.0
Alvarado,1.0
Alvarez,1.0
Andrade,1.0
Arias,1.0
Arroyo,1.0
Avendaño,1.0
Barrios,1.0
Bautista,1.0
Benitez,1.0
Blanco,1.0
Bolivar,1.0
Bravo,1.0
Cabrera,1.0
Campos,1.0
Cardenas,1.0
Carrasco,1.0
Castillo,1.0
Castro,1.0
Cedeño,1.0
Chacon,1.0
Colina,1.0
Contreras,1.0
Cordoba,1.0
Correa,1.0
Cortes,1.0
Cruz,1.0
Delgado,1.0
Diaz,1.0
Dominguez,1.0
Duarte,1.0
Escobar,1.0
Espinoza,1.0
Fernandez,1.0
Figueroa,1.0
Flores,1.0
Franco,1.0
Fuentes,1.0
Garcia,1.0
Gil,1.0
Gimenez,1.0
Gomez,1.0
Gonzalez,1.0
Guerrero,1.0
Gutierrez,1.0
Guzman,1.0
Hernandez,1.0
Herrera,1.0
Hurtado,1.0
Jimenez,1.0
Lara,1.0
Leon,1.0
Lopez,1.0
Machado,1.0
Maldonado,1.0
Marcano,1.0
Marquez,1.0
Martinez,1.0
Medina,1.0
Mendez,1.0
Mendoza,1.0
Miranda,1.0
Molina,1.0
Montero,1.0
Mora,1.0
Morales,1.0
Moreno,1.0
Muñoz,1.0
Navarro,1.0
Nuñez,1.0
Ochoa,1.0
Ortega,1.0
Ortiz,1.0
Pacheco,1.0
Paez,1.0
Parada,1.0
Paredes,1.0
Peña,1.0
Perez,1.0
Pinto,1.0
Ramirez,1.0
Ramos,1.0
Reyes,1.0
Rivas,1.0
Rivera,1.0
Rodriguez,1.0
Rojas,1.0
Romero,1.0
Ruiz,1.0
Salazar,1.0
Sanchez,1.0
Silva,1.0
Soto,1.0
Suarez,1.0
Torres,1.0
Valdez,1.0
Valencia,1.0
Vargas,1.0
Vasquez,1.0
Vega,1.0
Velasquez,1.0
Vera,1.0
Zambrano,1.0
