alias,lugar
altamira,Altamira
petare,Petare
guarenas,Guarenas
guatire,Guatire
la guaira,La Guaira
guaira,La Guaira
los corales,Los Corales
playa grande,Playa Grande
caribe,Caribe
caracas,Caracas
catia,Catia
catia la mar,Catia La Mar
tanaguarena,Tanaguarena
caraballeda,Caraballeda
costabrava,Costa Brava
costa brava,Costa Brava
las adjuntas,Las Adjuntas
paseo de macuto,Paseo de Macuto
el valle,El Valle
coche,Coche
antimano,Antímano
caricuao,Caricuao
la pastora,La Pastora
san bernardino,San Bernardino
san martin,San Martín
23 de enero,23 de Enero
baruta,Baruta
chacao,Chacao
el hatillo,El Hatillo
los teques,Los Teques
ocumare del tuy,Ocumare del Tuy
charallave,Charallave
estado sucre,Estado Sucre
estado suere,Estado Sucre
edo sucre,Estado Sucre
estado amazonas,Amazonas
edo amazonas,Amazonas
estado anzoategui,Anzoategui
edo anzoategui,Anzoategui
estado apure,Apure
edo apure,Apure
estado aragua,Aragua
edo aragua,Aragua
estado barinas,Barinas
edo barinas,Barinas
estado bolivar,Bolivar
edo bolivar,Bolivar
estado carabobo,Carabobo
edo carabobo,Carabobo
estado cojedes,Cojedes
edo cojedes,Cojedes
estado delta amacuro,Delta Amacuro
edo delta amacuro,Delta Amacuro
distrito capital,Distrito Capital
estado distrito capital,Distrito Capital
estado falcon,Falcon
edo falcon,Falcon
estado guarico,Guarico
edo guarico,Guarico
estado lara,Lara
edo lara,Lara
estado merida,Merida
edo merida,Merida
estado miranda,Miranda
edo miranda,Miranda
estado monagas,Monagas
edo monagas,Monagas
estado nueva esparta,Nueva Esparta
edo nueva esparta,Nueva Esparta
estado portuguesa,Portuguesa
edo portuguesa,Portuguesa
estado tachira,Tachira
edo tachira,Tachira
estado trujillo,Trujillo
edo trujillo,Trujillo
estado yaracuy,Yaracuy
edo yaracuy,Yaracuy
estado zulia,Zulia
edo zulia,Zulia
estado la guaira,La Guaira
edo la guaira,La Guaira
estado vargas,La Guaira
edo vargas,La Guaira
hospital periferico de pariata,Hospital Periferico de Pariata
hospital periferico pariata,Hospital Periferico de Pariata
hosp periferico pariatra,Hospital Periferico de Pariata
periferico pariatra,Hospital Periferico de Pariata
periferico de pariata,Hospital Periferico de Pariata
hospital dr rafael medina jimenez periferico de pariata,Hospital Dr. Rafael Medina Jimenez (Periferico de Pariata)
hospital rafael medina jimenez periferico de pariata,Hospital Dr. Rafael Medina Jimenez (Periferico de Pariata)
hospital dr jose gregorio hernandez,Hospital Dr. Jose Gregorio Hernandez
hospital jose gregorio hernandez,Hospital Dr. Jose Gregorio Hernandez
hospital universitario dr luis razetti,Hospital Universitario Dr. Luis Razetti
hospital universitario luis razetti,Hospital Universitario Dr. Luis Razetti
hospital general dr felipe guevara rojas,Hospital General Dr. Felipe Guevara Rojas
hospital general felipe guevara rojas,Hospital General Dr. Felipe Guevara Rojas
hospital general dr pablo acosta ortiz,Hospital General Dr. Pablo Acosta Ortiz
hospital general pablo acosta ortiz,Hospital General Dr. Pablo Acosta Ortiz
hospital central de maracay,Hospital Central de Maracay
cdi luchadores por la salud,CDI Luchadores por la Salud
hospital dr luis razetti de barinas,Hospital Dr. Luis Razetti de Barinas
hospital luis razetti de barinas,Hospital Dr. Luis Razetti de Barinas
complejo hospitalario universitario ruiz y paez,Complejo Hospitalario Universitario Ruiz y Paez
hospital rosario vera zurita,Hospital Rosario Vera Zurita
hospital dr raul leoni guaiparo,Hospital Dr. Raul Leoni (Guaiparo)
hospital raul leoni guaiparo,Hospital Dr. Raul Leoni (Guaiparo)
ciudad hospitalaria dr enrique tejera chet,Ciudad Hospitalaria Dr. Enrique Tejera (CHET)
ciudad hospitalaria dr enrique tejera,Ciudad Hospitalaria Dr. Enrique Tejera (CHET)
chet,Ciudad Hospitalaria Dr. Enrique Tejera (CHET)
hospital dr jose francisco molina sierra,Hospital Dr. Jose Francisco Molina Sierra
hospital jose francisco molina sierra,Hospital Dr. Jose Francisco Molina Sierra
hospital simon bolivar de mariara,Hospital Simon Bolivar de Mariara
hospital general dr egor nucette,Hospital General Dr. Egor Nucette
hospital general egor nucette,Hospital General Dr. Egor Nucette
